time,temperature_2m (°F),rain (inch),soil_temperature_0_to_7cm (°F),soil_moisture_0_to_7cm (m³/m³)
2020-03-19T12:00,17.3,0.0,27.4,0.485
2020-03-20T12:00,15.3,0.0,26.4,0.48
2020-03-21T12:00,26.9,0.0,27.0,0.477
2020-03-22T12:00,38.1,0.0,31.5,0.49
2020-03-23T12:00,38.6,0.0,29.5,0.496
2020-03-24T12:00,44.9,0.0,31.6,0.516
2020-03-25T12:00,31.5,0.0,31.5,0.497
2020-03-26T12:00,40.6,0.0,35.7,0.491
2020-03-27T12:00,49.9,0.0,36.7,0.502
2020-03-28T12:00,48.4,0.0,38.6,0.502
2020-03-29T12:00,51.0,0.0,39.9,0.493
2020-03-30T12:00,55.9,0.0,42.3,0.49
2020-03-31T12:00,54.2,0.0,43.0,0.483
2020-04-01T12:00,53.2,0.0,43.1,0.475
2020-04-02T12:00,23.9,0.008,32.3,0.489
2020-04-03T12:00,20.6,0.0,28.7,0.48
2020-04-04T12:00,36.6,0.0,28.1,0.475
2020-04-05T12:00,47.7,0.0,34.7,0.478
2020-04-06T12:00,58.1,0.0,43.6,0.503
2020-04-07T12:00,47.6,0.059,43.1,0.507
2020-04-08T12:00,46.7,0.004,41.6,0.483
2020-04-09T12:00,36.2,0.0,33.1,0.475
2020-04-10T12:00,43.2,0.0,38.5,0.468
2020-04-11T12:00,40.5,0.0,38.7,0.465
2020-04-12T12:00,31.5,0.0,34.1,0.458
2020-04-13T12:00,29.5,0.0,32.1,0.462
2020-04-14T12:00,29.0,0.0,28.6,0.46
2020-04-15T12:00,36.4,0.0,30.5,0.46
2020-04-16T12:00,44.2,0.0,30.7,0.459
2020-04-17T12:00,48.5,0.0,35.3,0.448
2020-04-18T12:00,51.9,0.0,44.3,0.442
2020-04-19T12:00,40.8,0.0,40.2,0.433
2020-04-20T12:00,49.3,0.02,45.0,0.423
2020-04-21T12:00,35.5,0.0,37.3,0.416
2020-04-22T12:00,57.3,0.008,49.4,0.417
2020-04-23T12:00,60.2,0.0,54.0,0.396
2020-04-24T12:00,61.3,0.0,55.0,0.393
2020-04-25T12:00,53.9,0.016,50.1,0.378
2020-04-26T12:00,61.2,0.0,55.3,0.365
2020-04-27T12:00,65.6,0.0,57.8,0.354
2020-04-28T12:00,60.1,0.0,56.6,0.358
2020-04-29T12:00,60.2,0.0,55.3,0.381
2020-04-30T12:00,65.3,0.0,56.8,0.367
2020-05-01T12:00,61.9,0.102,57.0,0.376
2020-05-02T12:00,64.9,0.0,59.2,0.366
2020-05-03T12:00,47.7,0.0,51.7,0.349
2020-05-04T12:00,50.3,0.0,48.5,0.337
2020-05-05T12:00,44.5,0.067,43.7,0.476
2020-05-06T12:00,60.6,0.0,54.1,0.437
2020-05-07T12:00,50.4,0.0,51.0,0.412
2020-05-08T12:00,46.9,0.0,48.7,0.391
2020-05-09T12:00,38.1,0.118,40.2,0.43
2020-05-10T12:00,45.4,0.0,44.7,0.445
2020-05-11T12:00,43.9,0.0,45.8,0.424
2020-05-12T12:00,48.0,0.0,44.1,0.408
2020-05-13T12:00,52.6,0.016,47.0,0.389
2020-05-14T12:00,64.7,0.0,57.4,0.411
2020-05-15T12:00,61.6,0.0,58.2,0.388
2020-05-16T12:00,66.7,0.0,60.7,0.36
2020-05-17T12:00,67.1,0.0,63.0,0.342
2020-05-18T12:00,69.9,0.0,64.3,0.319
2020-05-19T12:00,69.3,0.0,66.5,0.298
2020-05-20T12:00,72.3,0.0,67.7,0.284
2020-05-21T12:00,69.4,0.0,66.5,0.292
2020-05-22T12:00,71.8,0.004,66.5,0.318
2020-05-23T12:00,73.0,0.0,70.1,0.307
2020-05-24T12:00,67.5,0.012,64.5,0.306
2020-05-25T12:00,71.6,0.0,70.5,0.301
2020-05-26T12:00,70.5,0.043,67.5,0.307
2020-05-27T12:00,80.9,0.0,74.7,0.301
2020-05-28T12:00,65.7,0.0,68.3,0.289
2020-05-29T12:00,62.0,0.0,63.8,0.285
2020-05-30T12:00,63.4,0.0,66.2,0.28
2020-05-31T12:00,75.5,0.0,69.9,0.272
2020-06-01T12:00,88.1,0.0,82.4,0.259
2020-06-02T12:00,84.3,0.008,79.6,0.259
2020-06-03T12:00,82.2,0.0,81.7,0.255
2020-06-04T12:00,81.3,0.0,81.3,0.254
2020-06-05T12:00,77.6,0.0,77.1,0.275
2020-06-06T12:00,76.6,0.0,74.4,0.275
2020-06-07T12:00,91.2,0.016,82.2,0.281
2020-06-08T12:00,89.1,0.0,81.2,0.43
2020-06-09T12:00,62.4,0.26,64.4,0.497
2020-06-10T12:00,69.7,0.0,67.7,0.44
2020-06-11T12:00,73.7,0.0,70.1,0.403
2020-06-12T12:00,69.8,0.0,69.8,0.373
2020-06-13T12:00,72.4,0.0,71.0,0.337
2020-06-14T12:00,78.2,0.0,73.7,0.312
2020-06-15T12:00,90.2,0.0,82.8,0.292
2020-06-16T12:00,90.8,0.0,84.0,0.285
2020-06-17T12:00,90.7,0.0,86.4,0.279
2020-06-18T12:00,75.0,0.004,77.5,0.459
2020-06-19T12:00,68.5,0.0,72.2,0.421
2020-06-20T12:00,73.9,0.004,71.9,0.396
2020-06-21T12:00,66.4,0.0,67.7,0.448
2020-06-22T12:00,68.4,0.0,69.5,0.418
2020-06-23T12:00,71.8,0.0,71.3,0.399
2020-06-24T12:00,76.7,0.0,74.6,0.371
2020-06-25T12:00,84.4,0.0,76.6,0.344
2020-06-26T12:00,81.4,0.0,78.2,0.344
2020-06-27T12:00,84.8,0.0,79.7,0.326
2020-06-28T12:00,87.7,0.0,82.3,0.307
2020-06-29T12:00,85.8,0.0,83.5,0.295
2020-06-30T12:00,87.1,0.0,82.7,0.293
2020-07-01T12:00,80.2,0.0,80.1,0.439
2020-07-02T12:00,87.6,0.0,82.5,0.398
2020-07-03T12:00,88.1,0.0,84.4,0.377
2020-07-04T12:00,89.0,0.0,84.4,0.343
2020-07-05T12:00,87.9,0.0,85.3,0.331
2020-07-06T12:00,81.3,0.055,80.0,0.345
2020-07-07T12:00,84.5,0.0,82.5,0.313
2020-07-08T12:00,86.0,0.004,84.5,0.31
2020-07-09T12:00,79.8,0.0,80.6,0.306
2020-07-10T12:00,78.8,0.0,80.4,0.298
2020-07-11T12:00,73.9,0.008,75.8,0.303
2020-07-12T12:00,81.3,0.0,79.7,0.306
2020-07-13T12:00,85.1,0.0,79.7,0.294
2020-07-14T12:00,75.6,0.024,75.6,0.304
2020-07-15T12:00,81.1,0.0,77.8,0.296
2020-07-16T12:00,83.2,0.0,80.7,0.29
2020-07-17T12:00,91.4,0.0,83.1,0.283
2020-07-18T12:00,81.9,0.0,79.3,0.437
2020-07-19T12:00,74.9,0.0,75.3,0.399
2020-07-20T12:00,77.0,0.0,77.0,0.366
2020-07-21T12:00,72.4,0.0,73.5,0.424
2020-07-22T12:00,73.4,0.0,72.6,0.386
2020-07-23T12:00,78.9,0.0,75.3,0.363
2020-07-24T12:00,90.4,0.0,83.8,0.336
2020-07-25T12:00,84.1,0.008,80.3,0.457
2020-07-26T12:00,77.3,0.0,78.2,0.415
2020-07-27T12:00,78.4,0.0,76.5,0.377
2020-07-28T12:00,80.0,0.0,77.3,0.349
2020-07-29T12:00,78.6,0.0,77.4,0.324
2020-07-30T12:00,79.7,0.0,79.2,0.311
2020-07-31T12:00,83.6,0.0,79.5,0.299
2020-08-01T12:00,76.4,0.0,76.3,0.298
2020-08-02T12:00,72.9,0.004,74.6,0.295
2020-08-03T12:00,74.2,0.0,74.8,0.29
2020-08-04T12:00,75.4,0.0,74.8,0.287
2020-08-05T12:00,74.7,0.004,74.4,0.29
2020-08-06T12:00,77.3,0.0,75.9,0.288
2020-08-07T12:00,79.7,0.0,75.5,0.288
2020-08-08T12:00,80.5,0.0,78.9,0.327
2020-08-09T12:00,84.0,0.0,80.9,0.339
2020-08-10T12:00,74.6,0.0,71.3,0.441
2020-08-11T12:00,79.1,0.0,73.8,0.405
2020-08-12T12:00,79.5,0.0,75.1,0.381
2020-08-13T12:00,83.7,0.0,78.6,0.364
2020-08-14T12:00,69.6,0.701,70.3,0.509
2020-08-15T12:00,73.2,0.0,69.6,0.476
2020-08-16T12:00,77.9,0.0,72.8,0.454
2020-08-17T12:00,74.4,0.0,71.4,0.428
2020-08-18T12:00,78.2,0.0,72.5,0.407
2020-08-19T12:00,81.7,0.0,76.2,0.382
2020-08-20T12:00,81.4,0.0,77.2,0.377
2020-08-21T12:00,81.5,0.0,78.4,0.376
2020-08-22T12:00,83.6,0.0,78.5,0.366
2020-08-23T12:00,83.2,0.0,77.3,0.353
2020-08-24T12:00,76.1,0.0,74.6,0.464
2020-08-25T12:00,82.9,0.0,76.0,0.422
2020-08-26T12:00,80.4,0.004,76.9,0.408
2020-08-27T12:00,76.3,0.0,73.7,0.399
2020-08-28T12:00,72.7,0.004,71.8,0.477
2020-08-29T12:00,69.7,0.0,69.7,0.45
2020-08-30T12:00,73.8,0.0,69.3,0.425
2020-08-31T12:00,66.6,0.0,65.6,0.476
2020-09-01T12:00,65.1,0.0,62.7,0.459
2020-09-02T12:00,71.0,0.0,66.4,0.446
2020-09-03T12:00,62.1,0.0,64.2,0.425
2020-09-04T12:00,68.5,0.0,63.8,0.415
2020-09-05T12:00,72.2,0.0,66.5,0.389
2020-09-06T12:00,73.6,0.0,68.7,0.366
2020-09-07T12:00,52.5,0.0,58.2,0.361
2020-09-08T12:00,49.7,0.0,54.1,0.366
2020-09-09T12:00,53.4,0.0,55.5,0.377
2020-09-10T12:00,61.6,0.0,57.0,0.369
2020-09-11T12:00,62.0,0.0,59.2,0.339
2020-09-12T12:00,59.2,0.146,59.2,0.446
2020-09-13T12:00,63.5,0.0,61.8,0.41
2020-09-14T12:00,66.6,0.0,60.2,0.398
2020-09-15T12:00,72.1,0.0,68.2,0.387
2020-09-16T12:00,58.3,0.0,61.2,0.381
2020-09-17T12:00,59.1,0.0,58.9,0.37
2020-09-18T12:00,62.0,0.0,59.3,0.357
2020-09-19T12:00,69.0,0.0,63.4,0.334
2020-09-20T12:00,76.4,0.0,68.7,0.323
2020-09-21T12:00,76.0,0.0,69.2,0.315
2020-09-22T12:00,78.1,0.0,68.4,0.298
2020-09-23T12:00,71.2,0.0,68.3,0.268
2020-09-24T12:00,70.9,0.0,67.9,0.282
2020-09-25T12:00,71.0,0.0,67.3,0.309
2020-09-26T12:00,67.1,0.02,63.8,0.315
2020-09-27T12:00,57.4,0.13,58.8,0.373
2020-09-28T12:00,56.6,0.008,56.5,0.381
2020-09-29T12:00,66.5,0.0,60.3,0.379
2020-09-30T12:00,59.1,0.0,59.2,0.364
2020-10-01T12:00,47.4,0.0,51.7,0.362
2020-10-02T12:00,47.4,0.0,49.1,0.359
2020-10-03T12:00,49.0,0.0,50.5,0.354
2020-10-04T12:00,54.5,0.0,43.2,0.335
2020-10-05T12:00,62.9,0.016,57.9,0.325
2020-10-06T12:00,71.7,0.0,61.5,0.31
2020-10-07T12:00,63.7,0.0,60.4,0.309
2020-10-08T12:00,62.5,0.0,57.0,0.301
2020-10-09T12:00,71.9,0.0,62.9,0.292
2020-10-10T12:00,55.7,0.0,56.8,0.282
2020-10-11T12:00,69.7,0.0,62.8,0.277
2020-10-12T12:00,59.5,0.0,57.3,0.348
2020-10-13T12:00,56.4,0.0,56.1,0.342
2020-10-14T12:00,52.5,0.004,55.5,0.338
2020-10-15T12:00,46.5,0.008,46.2,0.328
2020-10-16T12:00,41.1,0.0,44.0,0.336
2020-10-17T12:00,41.3,0.0,42.7,0.34
2020-10-18T12:00,33.4,0.0,38.5,0.347
2020-10-19T12:00,34.0,0.0,39.5,0.344
2020-10-20T12:00,34.1,0.0,36.8,0.344
2020-10-21T12:00,32.1,0.0,37.7,0.353
2020-10-22T12:00,31.3,0.0,36.8,0.352
2020-10-23T12:00,27.8,0.0,37.0,0.352
2020-10-24T12:00,28.0,0.0,35.1,0.348
2020-10-25T12:00,29.5,0.0,35.0,0.352
2020-10-26T12:00,28.7,0.0,31.3,0.346
2020-10-27T12:00,26.9,0.0,27.7,0.346
2020-10-28T12:00,47.3,0.0,35.9,0.369
2020-10-29T12:00,33.0,0.0,32.7,0.374
2020-10-30T12:00,41.0,0.0,37.5,0.375
2020-10-31T12:00,46.9,0.0,31.9,0.38
2020-11-01T12:00,33.7,0.0,29.2,0.374
2020-11-02T12:00,55.6,0.0,29.2,0.372
2020-11-03T12:00,62.4,0.0,46.9,0.354
2020-11-04T12:00,63.9,0.0,48.9,0.338
2020-11-05T12:00,55.2,0.0,49.0,0.317
2020-11-06T12:00,61.1,0.0,52.8,0.31
2020-11-07T12:00,44.2,0.0,45.2,0.306
2020-11-08T12:00,65.7,0.0,57.1,0.308
2020-11-09T12:00,30.0,0.0,39.9,0.298
2020-11-10T12:00,30.5,0.0,28.3,0.298
2020-11-11T12:00,40.2,0.0,28.1,0.297
2020-11-12T12:00,25.6,0.0,27.7,0.297
2020-11-13T12:00,37.6,0.0,27.9,0.297
2020-11-14T12:00,42.4,0.0,30.0,0.297
2020-11-15T12:00,31.6,0.0,29.3,0.297
2020-11-16T12:00,30.4,0.0,27.9,0.297
2020-11-17T12:00,30.1,0.0,27.4,0.297
2020-11-18T12:00,47.6,0.0,28.7,0.297
2020-11-19T12:00,40.4,0.0,37.6,0.297
2020-11-20T12:00,29.2,0.0,31.6,0.314
2020-11-21T12:00,40.2,0.0,28.0,0.314
2020-11-22T12:00,35.0,0.0,30.5,0.32
2020-11-23T12:00,33.9,0.0,27.8,0.319
2020-11-24T12:00,36.3,0.0,29.5,0.32
2020-11-25T12:00,33.0,0.0,28.7,0.32
2020-11-26T12:00,39.1,0.0,28.3,0.319
2020-11-27T12:00,34.8,0.0,27.8,0.319
2020-11-28T12:00,44.0,0.0,28.2,0.319
2020-11-29T12:00,31.1,0.0,31.5,0.318
2020-11-30T12:00,32.4,0.0,27.5,0.318
2020-12-01T12:00,36.8,0.0,27.8,0.318
2020-12-02T12:00,38.4,0.0,28.2,0.317
2020-12-03T12:00,42.6,0.0,28.1,0.317
2020-12-04T12:00,37.6,0.0,28.0,0.317
2020-12-05T12:00,42.5,0.0,28.2,0.317
2020-12-06T12:00,40.4,0.0,28.1,0.317
2020-12-07T12:00,41.2,0.0,27.9,0.317
2020-12-08T12:00,46.7,0.0,28.3,0.316
2020-12-09T12:00,42.1,0.0,28.2,0.316
2020-12-10T12:00,38.9,0.0,33.0,0.315
2020-12-11T12:00,30.5,0.0,30.5,0.315
2020-12-12T12:00,25.6,0.0,27.4,0.314
2020-12-13T12:00,25.9,0.0,27.4,0.314
2020-12-14T12:00,9.6,0.0,22.5,0.314
2020-12-15T12:00,25.1,0.0,26.9,0.314
2020-12-16T12:00,30.3,0.0,27.4,0.314
2020-12-17T12:00,32.3,0.0,27.7,0.314
2020-12-18T12:00,36.2,0.0,27.9,0.314
2020-12-19T12:00,24.2,0.0,24.8,0.314
2020-12-20T12:00,33.3,0.0,27.4,0.314
2020-12-21T12:00,30.8,0.0,27.6,0.315
2020-12-22T12:00,36.8,0.0,27.8,0.315
2020-12-23T12:00,9.4,0.0,22.4,0.315
2020-12-24T12:00,4.3,0.0,16.9,0.315
2020-12-25T12:00,32.7,0.0,20.8,0.315
2020-12-26T12:00,23.7,0.0,22.9,0.315
2020-12-27T12:00,20.1,0.0,23.7,0.315
2020-12-28T12:00,13.6,0.0,21.5,0.315
2020-12-29T12:00,24.8,0.0,21.0,0.315
2020-12-30T12:00,21.3,0.0,23.9,0.315
2020-12-31T12:00,21.2,0.0,23.6,0.315
2021-01-01T12:00,27.2,0.0,24.8,0.315
2021-01-02T12:00,30.0,0.0,25.6,0.315
2021-01-03T12:00,32.1,0.0,25.9,0.315
2021-01-04T12:00,37.0,0.0,27.8,0.321
2021-01-05T12:00,26.0,0.0,25.7,0.325
2021-01-06T12:00,33.4,0.0,27.9,0.325
2021-01-07T12:00,27.8,0.0,28.8,0.327
2021-01-08T12:00,27.8,0.0,27.6,0.327
2021-01-09T12:00,30.8,0.0,31.4,0.326
2021-01-10T12:00,28.5,0.0,26.9,0.327
2021-01-11T12:00,30.9,0.0,27.2,0.327
2021-01-12T12:00,35.7,0.0,27.2,0.327
2021-01-13T12:00,37.8,0.0,30.6,0.34
2021-01-14T12:00,35.0,0.004,30.5,0.401
2021-01-15T12:00,28.8,0.0,28.3,0.397
2021-01-16T12:00,24.4,0.0,26.9,0.395
2021-01-17T12:00,29.9,0.0,27.5,0.394
2021-01-18T12:00,18.1,0.0,26.9,0.392
2021-01-19T12:00,10.2,0.0,24.6,0.391
2021-01-20T12:00,41.1,0.0,27.5,0.397
2021-01-21T12:00,20.7,0.0,26.8,0.405
2021-01-22T12:00,20.4,0.0,23.0,0.404
2021-01-23T12:00,29.3,0.0,24.9,0.404
2021-01-24T12:00,11.2,0.0,20.6,0.404
2021-01-25T12:00,11.8,0.0,17.9,0.404
2021-01-26T12:00,5.5,0.0,15.7,0.404
2021-01-27T12:00,3.5,0.0,11.7,0.404
2021-01-28T12:00,19.5,0.0,17.9,0.404
2021-01-29T12:00,24.6,0.0,23.4,0.404
2021-01-30T12:00,26.7,0.0,26.3,0.404
2021-01-31T12:00,28.8,0.0,27.6,0.404
2021-02-01T12:00,28.5,0.0,30.7,0.402
2021-02-02T12:00,27.3,0.0,29.9,0.402
2021-02-03T12:00,30.7,0.0,27.4,0.403
2021-02-04T12:00,15.5,0.0,24.1,0.402
2021-02-05T12:00,9.8,0.0,18.3,0.402
2021-02-06T12:00,-4.9,0.0,9.5,0.402
2021-02-07T12:00,-7.1,0.0,5.3,0.402
2021-02-08T12:00,-1.2,0.0,5.3,0.402
2021-02-09T12:00,2.9,0.0,7.8,0.402
2021-02-10T12:00,0.4,0.0,8.0,0.402
2021-02-11T12:00,-4.7,0.0,6.7,0.402
2021-02-12T12:00,-5.8,0.0,4.2,0.402
2021-02-13T12:00,-7.2,0.0,3.2,0.402
2021-02-14T12:00,-7.0,0.0,1.9,0.402
2021-02-15T12:00,1.7,0.0,4.7,0.402
2021-02-16T12:00,2.9,0.0,6.9,0.402
2021-02-17T12:00,10.7,0.0,13.4,0.402
2021-02-18T12:00,16.8,0.0,17.0,0.402
2021-02-19T12:00,20.7,0.0,19.5,0.402
2021-02-20T12:00,30.9,0.0,22.9,0.402
2021-02-21T12:00,39.2,0.0,27.6,0.403
2021-02-22T12:00,46.2,0.008,28.4,0.409
2021-02-23T12:00,39.7,0.0,30.4,0.408
2021-02-24T12:00,31.4,0.0,27.7,0.408
2021-02-25T12:00,38.8,0.0,27.8,0.406
2021-02-26T12:00,44.9,0.0,30.5,0.408
2021-02-27T12:00,21.1,0.0,26.9,0.41
2021-02-28T12:00,24.2,0.0,27.1,0.409
2021-03-01T12:00,16.7,0.0,26.4,0.408
2021-03-02T12:00,52.8,0.0,28.5,0.412
2021-03-03T12:00,40.4,0.004,28.8,0.417
2021-03-04T12:00,49.3,0.0,31.2,0.409
2021-03-05T12:00,47.2,0.0,32.6,0.399
2021-03-06T12:00,48.3,0.0,31.0,0.389
2021-03-07T12:00,56.0,0.0,31.6,0.385
2021-03-08T12:00,54.5,0.0,32.6,0.375
2021-03-09T12:00,62.3,0.0,45.3,0.36
2021-03-10T12:00,35.0,0.0,32.0,0.356
2021-03-11T12:00,43.9,0.0,29.9,0.357
2021-03-12T12:00,35.1,0.0,28.1,0.358
2021-03-13T12:00,55.9,0.0,31.0,0.359
2021-03-14T12:00,45.2,0.0,31.7,0.356
2021-03-15T12:00,35.0,0.0,31.4,0.355
2021-03-16T12:00,34.8,0.0,33.5,0.352
2021-03-17T12:00,42.3,0.0,39.2,0.352
2021-03-18T12:00,48.1,0.0,29.7,0.359
2021-03-19T12:00,51.1,0.0,40.1,0.349
2021-03-20T12:00,59.3,0.0,42.7,0.339
2021-03-21T12:00,50.3,0.008,44.5,0.33
2021-03-22T12:00,47.0,0.0,31.0,0.339
2021-03-23T12:00,51.7,0.0,43.3,0.324
2021-03-24T12:00,42.3,0.0,32.4,0.32
2021-03-25T12:00,52.1,0.0,29.9,0.317
2021-03-26T12:00,45.9,0.031,41.0,0.319
2021-03-27T12:00,44.4,0.0,42.8,0.341
2021-03-28T12:00,43.0,0.0,29.6,0.34
2021-03-29T12:00,66.0,0.0,50.0,0.332
2021-03-30T12:00,28.8,0.0,31.2,0.315
2021-03-31T12:00,29.7,0.0,28.2,0.315
2021-04-01T12:00,47.6,0.0,28.9,0.315
2021-04-02T12:00,60.2,0.0,46.5,0.313
2021-04-03T12:00,62.6,0.0,32.1,0.298
2021-04-04T12:00,61.1,0.0,53.0,0.259
2021-04-05T12:00,64.0,0.0,55.7,0.239
2021-04-06T12:00,54.7,0.0,51.4,0.21
2021-04-07T12:00,46.9,0.055,44.3,0.229
2021-04-08T12:00,46.2,0.0,44.4,0.395
2021-04-09T12:00,51.1,0.016,44.8,0.456
2021-04-10T12:00,55.0,0.0,50.3,0.416
2021-04-11T12:00,55.7,0.0,51.2,0.395
2021-04-12T12:00,36.4,0.059,38.7,0.408
2021-04-13T12:00,30.5,0.0,31.7,0.398
2021-04-14T12:00,35.9,0.0,31.7,0.39
2021-04-15T12:00,43.9,0.0,41.3,0.392
2021-04-16T12:00,43.9,0.0,41.4,0.392
2021-04-17T12:00,54.9,0.0,48.6,0.375
2021-04-18T12:00,41.5,0.012,45.2,0.348
2021-04-19T12:00,37.3,0.0,37.1,0.36
2021-04-20T12:00,38.6,0.0,30.9,0.355
2021-04-21T12:00,47.6,0.0,31.3,0.35
2021-04-22T12:00,58.5,0.0,41.4,0.329
2021-04-23T12:00,40.5,0.008,43.1,0.318
2021-04-24T12:00,43.6,0.0,31.9,0.321
2021-04-25T12:00,39.2,0.004,39.8,0.305
2021-04-26T12:00,51.3,0.063,46.4,0.344
2021-04-27T12:00,58.6,0.0,52.6,0.324
2021-04-28T12:00,67.2,0.004,58.4,0.314
2021-04-29T12:00,60.8,0.0,56.7,0.306
2021-04-30T12:00,54.8,0.0,53.0,0.296
2021-05-01T12:00,81.0,0.0,68.0,0.281
2021-05-02T12:00,76.3,0.0,68.8,0.253
2021-05-03T12:00,58.1,0.0,56.5,0.307
2021-05-04T12:00,50.7,0.0,53.0,0.302
2021-05-05T12:00,52.3,0.004,52.2,0.296
2021-05-06T12:00,63.0,0.0,56.3,0.298
2021-05-07T12:00,52.4,0.0,54.0,0.29
2021-05-08T12:00,55.9,0.0,52.3,0.274
2021-05-09T12:00,57.6,0.0,55.7,0.27
2021-05-10T12:00,55.5,0.0,56.4,0.264
2021-05-11T12:00,61.1,0.0,59.8,0.25
2021-05-12T12:00,68.6,0.0,62.9,0.248
2021-05-13T12:00,70.3,0.0,64.9,0.248
2021-05-14T12:00,69.4,0.02,66.9,0.258
2021-05-15T12:00,71.7,0.0,67.4,0.273
2021-05-16T12:00,78.3,0.0,71.5,0.269
2021-05-17T12:00,79.7,0.0,75.6,0.266
2021-05-18T12:00,77.3,0.0,73.7,0.255
2021-05-19T12:00,83.2,0.004,77.3,0.254
2021-05-20T12:00,69.8,0.354,67.7,0.443
2021-05-21T12:00,80.1,0.039,72.0,0.44
2021-05-22T12:00,59.9,0.0,65.3,0.402
2021-05-23T12:00,63.8,0.106,62.1,0.414
2021-05-24T12:00,78.4,0.0,72.6,0.37
2021-05-25T12:00,75.5,0.0,73.3,0.336
2021-05-26T12:00,51.0,0.0,58.4,0.324
2021-05-27T12:00,52.1,0.004,55.0,0.318
