time,temperature_2m (°F),rain (inch),soil_temperature_0_to_7cm (°F),soil_moisture_0_to_7cm (m³/m³)
2020-03-07T12:00,47.1,0.0,40.9,0.349
2020-03-08T12:00,58.4,0.0,49.6,0.341
2020-03-09T12:00,54.7,0.087,49.0,0.368
2020-03-10T12:00,46.0,0.0,48.3,0.403
2020-03-11T12:00,49.1,0.0,49.3,0.38
2020-03-12T12:00,55.5,0.0,48.1,0.37
2020-03-13T12:00,46.3,0.0,48.0,0.379
2020-03-14T12:00,36.9,0.0,41.2,0.37
2020-03-15T12:00,41.5,0.0,43.8,0.371
2020-03-16T12:00,40.5,0.075,39.8,0.39
2020-03-17T12:00,44.6,0.0,47.0,0.38
2020-03-18T12:00,45.0,0.079,43.5,0.388
2020-03-19T12:00,54.4,0.295,48.2,0.435
2020-03-20T12:00,44.0,0.0,49.3,0.401
2020-03-21T12:00,36.8,0.0,44.5,0.385
2020-03-22T12:00,35.1,0.0,38.2,0.374
2020-03-23T12:00,41.0,0.0,45.1,0.381
2020-03-24T12:00,47.1,0.0,45.8,0.374
2020-03-25T12:00,57.4,0.0,51.7,0.354
2020-03-26T12:00,52.2,0.13,50.7,0.383
2020-03-27T12:00,55.3,0.02,50.3,0.388
2020-03-28T12:00,67.9,0.232,59.0,0.421
2020-03-29T12:00,52.4,0.0,52.2,0.397
2020-03-30T12:00,55.3,0.0,55.3,0.382
2020-03-31T12:00,45.0,0.0,48.8,0.366
2020-04-01T12:00,52.6,0.0,54.5,0.361
2020-04-02T12:00,60.0,0.0,56.3,0.35
2020-04-03T12:00,65.1,0.0,60.5,0.335
2020-04-04T12:00,48.1,0.0,52.3,0.353
2020-04-05T12:00,54.1,0.0,55.0,0.335
2020-04-06T12:00,60.0,0.0,56.9,0.323
2020-04-07T12:00,75.5,0.012,66.5,0.334
2020-04-08T12:00,73.5,0.0,69.0,0.338
2020-04-09T12:00,48.2,0.0,54.2,0.358
2020-04-10T12:00,47.1,0.0,51.6,0.339
2020-04-11T12:00,62.7,0.0,58.7,0.319
2020-04-12T12:00,67.9,0.0,61.3,0.347
2020-04-13T12:00,42.7,0.0,49.3,0.354
2020-04-14T12:00,40.6,0.0,46.2,0.338
2020-04-15T12:00,39.5,0.0,45.6,0.323
2020-04-16T12:00,42.3,0.0,48.7,0.321
2020-04-17T12:00,36.0,0.016,40.1,0.365
2020-04-18T12:00,54.2,0.0,50.8,0.364
2020-04-19T12:00,61.5,0.0,58.1,0.343
2020-04-20T12:00,59.0,0.0,56.8,0.313
2020-04-21T12:00,49.4,0.0,54.7,0.291
2020-04-22T12:00,62.6,0.028,57.7,0.285
2020-04-23T12:00,60.3,0.047,58.3,0.278
2020-04-24T12:00,57.3,0.004,56.8,0.281
2020-04-25T12:00,48.8,0.52,48.2,0.426
2020-04-26T12:00,60.1,0.0,55.4,0.402
2020-04-27T12:00,66.8,0.0,60.5,0.378
2020-04-28T12:00,74.2,0.0,67.9,0.369
2020-04-29T12:00,54.6,0.197,55.1,0.427
2020-04-30T12:00,59.6,0.0,57.4,0.399
2020-05-01T12:00,64.8,0.0,60.5,0.379
2020-05-02T12:00,77.3,0.0,69.8,0.368
2020-05-03T12:00,66.6,0.0,65.2,0.351
2020-05-04T12:00,55.8,0.0,59.8,0.333
2020-05-05T12:00,46.3,0.094,48.8,0.373
2020-05-06T12:00,58.9,0.0,57.7,0.37
2020-05-07T12:00,65.2,0.0,62.4,0.363
2020-05-08T12:00,49.1,0.0,56.9,0.35
2020-05-09T12:00,53.1,0.0,56.6,0.342
2020-05-10T12:00,51.0,0.02,55.2,0.334
2020-05-11T12:00,50.8,0.0,52.1,0.342
2020-05-12T12:00,60.2,0.0,59.1,0.328
2020-05-13T12:00,61.5,0.0,57.4,0.308
2020-05-14T12:00,69.3,0.209,62.2,0.398
2020-05-15T12:00,72.6,0.008,67.8,0.405
2020-05-16T12:00,75.9,0.0,70.7,0.379
2020-05-17T12:00,68.8,0.654,65.4,0.436
2020-05-18T12:00,63.8,0.016,63.3,0.401
2020-05-19T12:00,65.4,0.02,61.1,0.402
2020-05-20T12:00,64.1,0.0,63.5,0.395
2020-05-21T12:00,64.9,0.0,65.0,0.388
2020-05-22T12:00,71.4,0.008,68.6,0.383
2020-05-23T12:00,75.0,0.02,71.6,0.362
2020-05-24T12:00,84.8,0.0,78.1,0.384
2020-05-25T12:00,79.8,0.012,77.3,0.368
2020-05-26T12:00,81.7,0.004,77.8,0.377
2020-05-27T12:00,77.3,0.024,77.9,0.363
2020-05-28T12:00,73.6,0.028,71.4,0.358
2020-05-29T12:00,73.0,0.0,74.4,0.371
2020-05-30T12:00,69.3,0.0,70.2,0.343
2020-05-31T12:00,67.8,0.0,71.2,0.322
2020-06-01T12:00,70.2,0.0,66.9,0.303
2020-06-02T12:00,83.5,0.0,78.1,0.287
2020-06-03T12:00,75.6,0.043,73.1,0.271
2020-06-04T12:00,80.7,0.016,78.0,0.303
2020-06-05T12:00,83.4,0.0,80.5,0.282
2020-06-06T12:00,81.4,0.0,81.5,0.254
2020-06-07T12:00,80.8,0.0,79.5,0.229
2020-06-08T12:00,85.2,0.0,81.5,0.203
2020-06-09T12:00,82.4,0.051,79.6,0.188
2020-06-10T12:00,75.6,0.0,79.6,0.253
2020-06-11T12:00,77.7,0.0,76.0,0.26
2020-06-12T12:00,82.0,0.0,80.6,0.229
2020-06-13T12:00,71.8,0.0,76.1,0.205
2020-06-14T12:00,71.7,0.0,74.0,0.226
2020-06-15T12:00,74.2,0.0,75.6,0.205
2020-06-16T12:00,81.2,0.0,80.5,0.182
2020-06-17T12:00,83.7,0.0,82.6,0.171
2020-06-18T12:00,85.7,0.0,85.5,0.16
2020-06-19T12:00,88.3,0.0,87.4,0.155
2020-06-20T12:00,86.0,0.0,83.6,0.147
2020-06-21T12:00,80.3,0.008,80.9,0.24
2020-06-22T12:00,84.3,0.008,84.2,0.227
2020-06-23T12:00,74.5,0.0,75.3,0.339
2020-06-24T12:00,77.0,0.0,76.9,0.29
2020-06-25T12:00,80.6,0.0,78.5,0.253
2020-06-26T12:00,87.8,0.0,82.3,0.223
2020-06-27T12:00,85.2,0.004,82.2,0.311
2020-06-28T12:00,82.0,0.02,83.3,0.317
2020-06-29T12:00,85.8,0.024,84.1,0.278
2020-06-30T12:00,82.2,0.0,81.1,0.313
2020-07-01T12:00,84.6,0.0,83.3,0.283
2020-07-02T12:00,87.1,0.0,85.2,0.249
2020-07-03T12:00,86.9,0.0,85.7,0.223
2020-07-04T12:00,86.8,0.0,87.3,0.2
2020-07-05T12:00,89.1,0.0,88.7,0.183
2020-07-06T12:00,89.3,0.0,89.3,0.171
2020-07-07T12:00,89.5,0.0,90.5,0.165
2020-07-08T12:00,89.5,0.0,91.0,0.163
2020-07-09T12:00,89.2,0.016,89.8,0.171
2020-07-10T12:00,84.1,0.0,84.5,0.212
2020-07-11T12:00,84.9,0.008,85.9,0.195
2020-07-12T12:00,79.8,0.004,83.0,0.212
2020-07-13T12:00,80.1,0.0,82.5,0.222
2020-07-14T12:00,83.6,0.0,83.2,0.202
2020-07-15T12:00,82.6,0.0,80.1,0.195
2020-07-16T12:00,78.9,0.0,77.9,0.338
2020-07-17T12:00,83.5,0.0,82.6,0.288
2020-07-18T12:00,89.4,0.0,85.7,0.255
2020-07-19T12:00,86.3,0.394,82.9,0.381
2020-07-20T12:00,83.8,0.0,83.6,0.274
2020-07-21T12:00,80.9,0.079,78.7,0.267
2020-07-22T12:00,81.1,0.043,80.6,0.314
2020-07-23T12:00,78.2,0.0,81.4,0.266
2020-07-24T12:00,81.3,0.0,82.7,0.236
2020-07-25T12:00,85.9,0.0,85.0,0.215
2020-07-26T12:00,90.2,0.0,88.3,0.2
2020-07-27T12:00,78.8,0.185,80.9,0.249
2020-07-28T12:00,84.4,0.0,84.6,0.206
2020-07-29T12:00,87.0,0.0,85.6,0.19
2020-07-30T12:00,75.2,0.213,75.6,0.269
2020-07-31T12:00,81.0,0.0,80.0,0.283
2020-08-01T12:00,75.7,0.098,75.0,0.287
2020-08-02T12:00,79.7,0.004,78.7,0.26
2020-08-03T12:00,74.2,0.004,76.0,0.238
2020-08-04T12:00,71.5,0.0,74.2,0.225
2020-08-05T12:00,74.3,0.0,76.4,0.206
2020-08-06T12:00,76.6,0.0,78.5,0.191
2020-08-07T12:00,80.5,0.0,80.5,0.18
2020-08-08T12:00,84.6,0.0,82.8,0.166
2020-08-09T12:00,86.7,0.0,85.0,0.166
2020-08-10T12:00,79.0,0.492,82.1,0.345
2020-08-11T12:00,80.0,0.0,81.9,0.275
2020-08-12T12:00,81.4,0.0,80.8,0.237
2020-08-13T12:00,84.2,0.0,83.6,0.208
2020-08-14T12:00,85.7,0.0,85.9,0.184
2020-08-15T12:00,86.8,0.0,87.0,0.167
2020-08-16T12:00,82.9,0.0,84.1,0.167
2020-08-17T12:00,83.3,0.0,85.9,0.166
2020-08-18T12:00,79.9,0.0,82.3,0.163
2020-08-19T12:00,79.6,0.0,81.6,0.159
2020-08-20T12:00,80.9,0.0,83.2,0.159
2020-08-21T12:00,81.8,0.0,84.8,0.159
2020-08-22T12:00,83.8,0.0,84.9,0.162
2020-08-23T12:00,87.5,0.0,84.8,0.164
2020-08-24T12:00,92.0,0.0,87.9,0.181
2020-08-25T12:00,91.2,0.0,90.1,0.174
2020-08-26T12:00,91.4,0.0,90.9,0.166
2020-08-27T12:00,90.0,0.0,90.1,0.167
2020-08-28T12:00,86.8,0.016,88.3,0.16
2020-08-29T12:00,81.4,0.0,86.5,0.154
2020-08-30T12:00,78.0,0.0,81.7,0.162
2020-08-31T12:00,82.9,0.0,82.7,0.157
2020-09-01T12:00,78.6,0.008,77.5,0.166
2020-09-02T12:00,82.5,0.0,81.4,0.218
2020-09-03T12:00,85.9,0.0,82.3,0.206
2020-09-04T12:00,74.7,0.0,76.8,0.204
2020-09-05T12:00,83.2,0.0,80.3,0.188
2020-09-06T12:00,76.3,0.331,70.8,0.297
2020-09-07T12:00,78.9,0.0,79.3,0.377
2020-09-08T12:00,71.0,0.016,72.6,0.404
2020-09-09T12:00,74.2,0.0,72.5,0.389
2020-09-10T12:00,70.6,0.0,71.2,0.369
2020-09-11T12:00,71.9,0.012,70.8,0.365
2020-09-12T12:00,72.0,0.669,70.2,0.433
2020-09-13T12:00,72.0,0.0,74.0,0.363
2020-09-14T12:00,73.4,0.0,73.5,0.334
2020-09-15T12:00,75.5,0.0,74.3,0.313
2020-09-16T12:00,76.4,0.0,73.5,0.297
2020-09-17T12:00,72.0,0.0,73.0,0.287
2020-09-18T12:00,62.9,0.0,67.8,0.277
2020-09-19T12:00,62.6,0.0,66.1,0.269
2020-09-20T12:00,69.0,0.0,67.0,0.253
2020-09-21T12:00,71.9,0.0,69.7,0.241
2020-09-22T12:00,75.9,0.0,73.2,0.222
2020-09-23T12:00,75.0,0.0,73.8,0.21
2020-09-24T12:00,75.1,0.0,74.2,0.208
2020-09-25T12:00,76.5,0.0,74.5,0.201
2020-09-26T12:00,79.6,0.0,76.4,0.196
2020-09-27T12:00,78.7,0.0,78.0,0.206
2020-09-28T12:00,62.2,0.016,64.9,0.352
2020-09-29T12:00,58.4,0.0,61.0,0.321
2020-09-30T12:00,64.3,0.024,60.9,0.311
2020-10-01T12:00,59.2,0.004,61.6,0.292
2020-10-02T12:00,56.3,0.0,60.6,0.291
2020-10-03T12:00,56.8,0.0,59.1,0.289
2020-10-04T12:00,52.8,0.0,56.9,0.369
2020-10-05T12:00,58.0,0.0,56.6,0.337
2020-10-06T12:00,69.7,0.0,64.3,0.309
2020-10-07T12:00,76.0,0.0,70.1,0.286
2020-10-08T12:00,71.5,0.0,68.1,0.261
2020-10-09T12:00,77.8,0.0,70.1,0.246
2020-10-10T12:00,78.6,0.0,74.7,0.24
2020-10-11T12:00,77.5,0.0,73.8,0.235
2020-10-12T12:00,58.3,0.193,64.4,0.291
2020-10-13T12:00,68.6,0.0,63.6,0.259
2020-10-14T12:00,72.1,0.0,64.7,0.243
2020-10-15T12:00,54.6,0.0,60.5,0.236
2020-10-16T12:00,53.4,0.008,55.4,0.237
2020-10-17T12:00,60.5,0.0,55.5,0.232
2020-10-18T12:00,49.8,0.031,55.6,0.228
2020-10-19T12:00,52.7,0.0,55.2,0.244
2020-10-20T12:00,55.0,0.0,54.9,0.263
2020-10-21T12:00,55.0,0.0,58.0,0.354
2020-10-22T12:00,77.2,0.004,66.2,0.362
2020-10-23T12:00,48.1,0.425,54.8,0.424
2020-10-24T12:00,46.6,0.0,53.0,0.354
2020-10-25T12:00,49.1,0.0,50.7,0.337
2020-10-26T12:00,37.1,0.02,43.8,0.332
2020-10-27T12:00,37.8,0.008,42.5,0.33
2020-10-28T12:00,49.3,0.0,49.2,0.325
2020-10-29T12:00,47.9,0.0,48.1,0.317
2020-10-30T12:00,44.5,0.0,48.5,0.313
2020-10-31T12:00,55.4,0.0,49.8,0.31
2020-11-01T12:00,39.4,0.0,46.7,0.307
2020-11-02T12:00,47.1,0.0,40.9,0.302
2020-11-03T12:00,63.5,0.0,53.7,0.288
2020-11-04T12:00,67.9,0.0,60.1,0.268
2020-11-05T12:00,67.7,0.0,63.1,0.264
2020-11-06T12:00,69.6,0.0,63.1,0.25
2020-11-07T12:00,68.0,0.0,63.1,0.245
2020-11-08T12:00,73.1,0.0,66.4,0.237
2020-11-09T12:00,72.8,0.004,68.0,0.228
2020-11-10T12:00,70.4,0.012,68.0,0.229
2020-11-11T12:00,43.6,0.0,53.1,0.308
2020-11-12T12:00,52.0,0.0,51.4,0.298
2020-11-13T12:00,38.0,0.0,45.8,0.302
2020-11-14T12:00,45.0,0.0,42.9,0.291
2020-11-15T12:00,44.5,0.051,46.2,0.368
2020-11-16T12:00,50.0,0.0,48.4,0.329
2020-11-17T12:00,40.9,0.0,45.5,0.312
2020-11-18T12:00,49.1,0.0,46.2,0.302
2020-11-19T12:00,64.2,0.0,55.6,0.285
2020-11-20T12:00,59.2,0.0,58.2,0.275
2020-11-21T12:00,46.8,0.0,50.7,0.261
2020-11-22T12:00,44.5,0.031,44.5,0.312
2020-11-23T12:00,43.0,0.0,46.6,0.299
2020-11-24T12:00,42.1,0.146,41.9,0.375
2020-11-25T12:00,49.4,0.114,48.0,0.394
2020-11-26T12:00,47.2,0.0,48.5,0.357
2020-11-27T12:00,44.9,0.0,45.0,0.341
2020-11-28T12:00,48.4,0.0,44.0,0.332
2020-11-29T12:00,49.2,0.0,45.7,0.325
2020-11-30T12:00,33.0,0.0,39.6,0.32
2020-12-01T12:00,31.9,0.0,31.9,0.318
2020-12-02T12:00,40.9,0.0,29.7,0.314
2020-12-03T12:00,44.4,0.0,37.6,0.31
2020-12-04T12:00,44.5,0.0,42.1,0.303
2020-12-05T12:00,41.1,0.0,31.6,0.301
2020-12-06T12:00,39.1,0.0,39.8,0.295
2020-12-07T12:00,38.9,0.0,41.1,0.294
2020-12-08T12:00,38.0,0.0,40.1,0.288
2020-12-09T12:00,50.1,0.0,44.5,0.28
2020-12-10T12:00,53.0,0.0,33.4,0.275
2020-12-11T12:00,45.5,0.0,43.5,0.272
2020-12-12T12:00,38.9,0.008,42.0,0.387
2020-12-13T12:00,37.2,0.0,40.5,0.353
2020-12-14T12:00,31.0,0.0,37.3,0.341
2020-12-15T12:00,32.1,0.0,32.8,0.338
2020-12-16T12:00,32.5,0.0,33.9,0.332
2020-12-17T12:00,34.6,0.0,36.5,0.327
2020-12-18T12:00,38.7,0.0,32.2,0.325
2020-12-19T12:00,46.7,0.0,41.2,0.323
2020-12-20T12:00,39.8,0.0,39.7,0.311
2020-12-21T12:00,47.8,0.0,42.8,0.311
2020-12-22T12:00,40.7,0.0,40.4,0.301
2020-12-23T12:00,54.3,0.063,46.7,0.321
2020-12-24T12:00,18.6,0.0,31.1,0.322
2020-12-25T12:00,18.3,0.0,27.4,0.317
2020-12-26T12:00,34.1,0.0,28.4,0.314
2020-12-27T12:00,49.1,0.0,31.0,0.311
2020-12-28T12:00,29.0,0.0,32.8,0.312
2020-12-29T12:00,29.2,0.0,28.3,0.309
2020-12-30T12:00,32.7,0.024,30.4,0.389
2020-12-31T12:00,29.2,0.0,33.4,0.352
2021-01-01T12:00,30.6,0.48,31.2,0.435
2021-01-02T12:00,33.0,0.0,33.6,0.383
2021-01-03T12:00,31.4,0.0,33.7,0.371
2021-01-04T12:00,31.4,0.0,33.1,0.363
2021-01-05T12:00,32.0,0.0,33.6,0.357
2021-01-06T12:00,31.9,0.0,33.4,0.353
2021-01-07T12:00,37.3,0.0,35.3,0.351
2021-01-08T12:00,34.5,0.0,34.7,0.347
2021-01-09T12:00,31.9,0.0,34.4,0.342
2021-01-10T12:00,28.2,0.0,33.0,0.339
2021-01-11T12:00,28.8,0.0,32.8,0.335
2021-01-12T12:00,40.0,0.0,31.3,0.339
2021-01-13T12:00,43.4,0.0,33.6,0.348
2021-01-14T12:00,39.9,0.012,36.1,0.351
2021-01-15T12:00,36.2,0.0,36.5,0.37
2021-01-16T12:00,37.2,0.008,35.9,0.362
2021-01-17T12:00,30.1,0.0,33.5,0.353
2021-01-18T12:00,31.1,0.0,33.6,0.346
2021-01-19T12:00,31.4,0.0,32.9,0.341
2021-01-20T12:00,28.9,0.0,31.3,0.337
2021-01-21T12:00,43.7,0.0,36.5,0.337
2021-01-22T12:00,21.1,0.0,32.4,0.334
2021-01-23T12:00,28.5,0.0,28.3,0.33
2021-01-24T12:00,36.3,0.0,32.5,0.327
2021-01-25T12:00,34.7,0.0,33.6,0.325
2021-01-26T12:00,31.9,0.004,32.5,0.324
2021-01-27T12:00,26.9,0.0,32.8,0.321
2021-01-28T12:00,25.6,0.0,30.0,0.32
2021-01-29T12:00,34.4,0.0,30.1,0.319
2021-01-30T12:00,36.7,0.0,34.8,0.316
2021-01-31T12:00,31.0,0.0,33.0,0.381
2021-02-01T12:00,26.8,0.0,32.9,0.361
2021-02-02T12:00,23.8,0.0,32.2,0.353
2021-02-03T12:00,22.7,0.0,29.0,0.348
2021-02-04T12:00,35.2,0.043,34.2,0.362
2021-02-05T12:00,16.2,0.0,30.5,0.374
2021-02-06T12:00,15.4,0.0,29.1,0.362
2021-02-07T12:00,-2.2,0.0,23.6,0.356
2021-02-08T12:00,7.9,0.0,27.0,0.353
2021-02-09T12:00,5.3,0.0,26.7,0.351
2021-02-10T12:00,11.3,0.0,25.1,0.35
2021-02-11T12:00,11.3,0.0,30.1,0.349
2021-02-12T12:00,9.7,0.0,25.4,0.348
2021-02-13T12:00,4.9,0.0,26.5,0.347
2021-02-14T12:00,-2.2,0.0,28.1,0.347
2021-02-15T12:00,3.6,0.0,26.5,0.347
2021-02-16T12:00,7.6,0.0,27.6,0.346
2021-02-17T12:00,7.6,0.0,29.8,0.343
2021-02-18T12:00,16.2,0.0,30.4,0.339
2021-02-19T12:00,13.6,0.0,31.0,0.336
2021-02-20T12:00,22.4,0.0,29.6,0.334
2021-02-21T12:00,29.7,0.0,29.4,0.333
2021-02-22T12:00,33.1,0.0,31.6,0.387
2021-02-23T12:00,40.9,0.0,33.0,0.418
2021-02-24T12:00,47.9,0.0,41.6,0.408
2021-02-25T12:00,42.5,0.0,39.3,0.385
2021-02-26T12:00,46.5,0.0,40.4,0.368
2021-02-27T12:00,54.5,0.0,44.6,0.371
2021-02-28T12:00,59.9,0.0,48.7,0.384
2021-03-01T12:00,38.1,0.0,41.1,0.368
2021-03-02T12:00,41.8,0.0,37.4,0.359
2021-03-03T12:00,55.3,0.0,47.9,0.346
2021-03-04T12:00,45.4,0.0,44.8,0.322
2021-03-05T12:00,45.4,0.0,45.1,0.319
2021-03-06T12:00,49.2,0.0,45.9,0.315
2021-03-07T12:00,52.3,0.0,45.8,0.309
2021-03-08T12:00,61.9,0.0,52.6,0.305
2021-03-09T12:00,62.9,0.0,54.5,0.285
2021-03-10T12:00,66.6,0.0,58.5,0.258
2021-03-11T12:00,56.0,0.0,57.6,0.284
2021-03-12T12:00,53.8,0.0,54.0,0.28
2021-03-13T12:00,53.6,0.0,52.8,0.28
2021-03-14T12:00,48.6,0.0,48.3,0.271
2021-03-15T12:00,33.3,0.272,35.9,0.35
2021-03-16T12:00,46.4,0.0,48.1,0.35
2021-03-17T12:00,48.8,0.004,46.5,0.325
2021-03-18T12:00,37.8,0.402,39.2,0.428
2021-03-19T12:00,48.0,0.0,46.4,0.38
2021-03-20T12:00,52.5,0.0,48.9,0.37
2021-03-21T12:00,61.2,0.0,53.4,0.351
2021-03-22T12:00,64.3,0.0,56.3,0.333
2021-03-23T12:00,59.2,0.008,55.4,0.324
2021-03-24T12:00,58.9,0.0,55.2,0.383
2021-03-25T12:00,54.4,0.0,53.8,0.372
2021-03-26T12:00,51.1,0.0,51.7,0.383
2021-03-27T12:00,67.0,0.0,57.9,0.365
2021-03-28T12:00,46.7,0.0,50.3,0.372
2021-03-29T12:00,59.3,0.0,52.6,0.351
2021-03-30T12:00,66.3,0.0,59.1,0.333
2021-03-31T12:00,42.4,0.0,49.7,0.338
2021-04-01T12:00,37.1,0.0,45.2,0.327
2021-04-02T12:00,45.4,0.0,45.5,0.32
2021-04-03T12:00,62.6,0.0,55.3,0.295
2021-04-04T12:00,71.5,0.0,63.4,0.271
2021-04-05T12:00,71.1,0.0,65.2,0.249
2021-04-06T12:00,76.6,0.0,70.8,0.236
2021-04-07T12:00,74.9,0.016,70.1,0.216
2021-04-08T12:00,63.9,0.004,63.5,0.342
2021-04-09T12:00,66.2,0.004,62.0,0.314
2021-04-10T12:00,59.5,0.118,56.5,0.342
2021-04-11T12:00,49.6,0.114,50.3,0.384
2021-04-12T12:00,61.2,0.0,60.3,0.349
2021-04-13T12:00,53.9,0.0,57.4,0.326
2021-04-14T12:00,50.9,0.0,56.1,0.317
2021-04-15T12:00,53.1,0.0,54.3,0.309
2021-04-16T12:00,57.7,0.0,58.0,0.296
2021-04-17T12:00,56.4,0.004,58.0,0.276
2021-04-18T12:00,60.2,0.0,60.1,0.259
2021-04-19T12:00,51.8,0.0,56.1,0.25
2021-04-20T12:00,37.1,0.02,42.4,0.278
2021-04-21T12:00,48.5,0.0,49.9,0.298
2021-04-22T12:00,52.5,0.0,51.5,0.292
2021-04-23T12:00,58.6,0.0,56.2,0.274
2021-04-24T12:00,55.9,0.094,54.3,0.305
2021-04-25T12:00,55.9,0.0,60.0,0.272
2021-04-26T12:00,72.8,0.0,63.7,0.255
2021-04-27T12:00,80.4,0.0,73.3,0.233
2021-04-28T12:00,75.5,0.146,70.5,0.284
2021-04-29T12:00,66.0,0.031,63.4,0.359
2021-04-30T12:00,62.6,0.0,64.8,0.315
2021-05-01T12:00,74.0,0.0,66.3,0.285
2021-05-02T12:00,78.7,0.0,73.4,0.252
2021-05-03T12:00,73.3,0.043,69.6,0.259
2021-05-04T12:00,57.2,0.012,60.2,0.336
2021-05-05T12:00,60.7,0.0,64.3,0.316
2021-05-06T12:00,57.8,0.244,59.8,0.364
2021-05-07T12:00,63.4,0.012,62.8,0.295
2021-05-08T12:00,56.2,0.0,60.4,0.276
2021-05-09T12:00,48.1,0.386,48.3,0.417
2021-05-10T12:00,57.3,0.059,55.9,0.394
2021-05-11T12:00,56.2,0.0,58.6,0.367
2021-05-12T12:00,59.0,0.0,59.9,0.352
2021-05-13T12:00,64.1,0.0,63.8,0.324
2021-05-14T12:00,68.5,0.0,66.1,0.31
2021-05-15T12:00,61.2,0.106,58.1,0.308
2021-05-16T12:00,69.2,0.0,65.1,0.336
2021-05-17T12:00,61.7,0.217,60.1,0.42
2021-05-18T12:00,68.8,0.189,63.1,0.409
2021-05-19T12:00,74.9,0.094,69.7,0.386
2021-05-20T12:00,80.4,0.004,74.9,0.348
2021-05-21T12:00,81.6,0.0,77.3,0.316
2021-05-22T12:00,80.2,0.0,77.6,0.297
2021-05-23T12:00,79.6,0.0,77.0,0.285
2021-05-24T12:00,83.2,0.0,79.6,0.266
2021-05-25T12:00,82.2,0.094,79.0,0.27
2021-05-26T12:00,81.5,0.0,78.7,0.298
2021-05-27T12:00,74.0,0.0,72.9,0.271
2021-05-28T12:00,52.8,0.0,58.6,0.385
